POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3265,299,27,16,7,0,0,4,345
POA3266,271,18,17,0,0,0,4,306
POA3267,21,5,0,0,0,0,0,23
POA3268,252,12,15,0,0,0,5,283
POA3269,67,4,7,0,0,0,0,77
POA3270,27,0,5,0,0,0,0,27
POA3271,11,0,0,0,0,0,0,16
POA3272,116,11,8,0,0,0,0,132
POA3273,15,0,0,0,0,0,0,15
POA3274,15,0,4,0,0,0,3,20
POA3275,62,3,4,0,0,0,0,68
POA3276,43,0,4,0,0,0,0,44
POA3277,184,11,11,0,0,0,0,213
POA3278,33,3,8,0,0,0,0,42
POA3279,38,0,0,0,0,0,0,41
POA3280,2942,276,122,18,8,0,17,3381
POA3281,227,14,14,3,0,0,0,272
POA3282,253,28,11,8,0,0,4,305
POA3283,152,9,4,0,0,0,3,173
POA3284,332,20,6,0,0,0,0,367
POA3285,138,3,9,0,0,0,3,150
